data,criterion,geom_threshold,warm_start,seed,runtime
Chainlink,dunnindex,0,oct,4,NA
Chainlink,dunnindex,0,oct,5,NA
Chainlink,silhouette,0,oct,5,NA
Target,silhouette,0,oct,5,NA
TwoDiamonds,dunnindex,0.9,oct,4,NA
WingNut,dunnindex,0,oct,3,NA
WingNut,dunnindex,0,oct,4,NA
WingNut,dunnindex,0.9,oct,5,NA
WingNut,dunnindex,0.99,none,5,NA
EngyTime,dunnindex,0,none,5,NA
EngyTime,dunnindex,0,oct,2,NA
EngyTime,dunnindex,0,oct,3,NA
EngyTime,dunnindex,0,oct,4,NA
EngyTime,dunnindex,0.9,none,1,NA
EngyTime,silhouette,0,none,4,NA
EngyTime,silhouette,0.9,oct,3,NA
EngyTime,silhouette,0.9,oct,5,NA